,CD8_T_cell,M0_macrophage,M1_macrophage,M2_macrophage,exhausted_T_cell,naive_T_cell,tumor,Total de agentes
rule2_vs_rule8_HM5.0_5.0_rep2,34.0,1.0,19.0,225.0,451.0,117.0,1293.0,2140.0
rule2_vs_rule8_HM5.0_5.0_rep3,29.0,1.0,21.0,240.0,449.0,96.0,1260.0,2096.0
rule2_vs_rule8_HM5.0_5.0_rep4,45.0,1.0,22.0,223.0,460.0,133.0,1250.0,2134.0
rule2_vs_rule8_HM5.0_5.0_rep5,40.0,1.0,21.0,250.0,445.0,114.0,1268.0,2139.0
rule2_vs_rule8_HM5.0_5.0_rep6,54.0,1.0,17.0,226.0,524.0,110.0,1170.0,2102.0
rule2_vs_rule8_HM5.0_5.0_rep7,50.0,1.0,14.0,236.0,464.0,103.0,1249.0,2117.0
rule2_vs_rule8_HM5.0_5.0_rep8,43.0,1.0,15.0,230.0,480.0,114.0,1206.0,2089.0
rule2_vs_rule8_HM5.0_5.0_rep9,50.0,1.0,21.0,238.0,487.0,85.0,1224.0,2106.0
rule2_vs_rule9_HM0.2_0.2_rep1,26.0,1.0,23.0,222.0,636.0,11.0,1121.0,2040.0
rule2_HM0.2_rep8,26.0,1.0,11.0,229.0,573.0,32.0,1239.0,2111.0
rule2_HM0.2_rep9,34.0,1.0,28.0,221.0,571.0,17.0,1259.0,2131.0
rule2_HM0.5_rep1,12.0,1.0,16.0,252.0,605.0,32.0,1181.0,2099.0
rule2_HM0.5_rep10,25.0,1.0,16.0,247.0,542.0,37.0,1239.0,2107.0
rule2_HM0.5_rep2,37.0,1.0,23.0,235.0,574.0,20.0,1182.0,2072.0
rule2_HM0.5_rep3,45.0,1.0,18.0,218.0,599.0,21.0,1103.0,2005.0
rule2_HM0.5_rep4,27.0,1.0,26.0,235.0,544.0,30.0,1220.0,2083.0
rule2_HM0.5_rep5,38.0,1.0,20.0,225.0,625.0,24.0,1174.0,2107.0
rule2_HM0.5_rep6,25.0,1.0,17.0,212.0,623.0,33.0,1143.0,2054.0
rule2_HM0.5_rep7,20.0,1.0,20.0,246.0,570.0,25.0,1207.0,2089.0
rule2_HM0.5_rep8,39.0,1.0,27.0,212.0,505.0,35.0,1238.0,2057.0
rule2_HM0.5_rep9,34.0,1.0,20.0,228.0,613.0,21.0,1156.0,2073.0
rule2_HM2.0_rep1,32.0,1.0,19.0,240.0,501.0,87.0,1253.0,2133.0
rule2_HM2.0_rep10,39.0,1.0,19.0,225.0,541.0,74.0,1189.0,2088.0
rule2_HM2.0_rep2,51.0,1.0,26.0,219.0,515.0,67.0,1211.0,2090.0
rule2_HM2.0_rep3,39.0,1.0,18.0,226.0,548.0,85.0,1202.0,2119.0
rule2_HM2.0_rep4,32.0,1.0,16.0,231.0,541.0,70.0,1181.0,2072.0
rule2_HM2.0_rep5,42.0,1.0,24.0,211.0,547.0,66.0,1124.0,2015.0
rule2_HM2.0_rep6,41.0,1.0,20.0,226.0,537.0,66.0,1207.0,2098.0
rule2_HM2.0_rep7,44.0,1.0,22.0,239.0,499.0,85.0,1240.0,2130.0
rule2_vs_rule9_HM5.0_0.2_rep8,42.0,1.0,21.0,233.0,465.0,118.0,1248.0,2128.0
rule2_vs_rule9_HM5.0_0.2_rep9,30.0,1.0,20.0,238.0,506.0,106.0,1208.0,2109.0
rule2_vs_rule9_HM5.0_0.5_rep1,34.0,1.0,25.0,225.0,501.0,102.0,1199.0,2087.0
rule2_vs_rule9_HM5.0_0.5_rep10,59.0,1.0,19.0,235.0,529.0,88.0,1141.0,2072.0
rule2_vs_rule9_HM5.0_0.5_rep2,41.0,1.0,31.0,218.0,470.0,113.0,1235.0,2109.0
rule2_vs_rule9_HM5.0_0.5_rep3,47.0,1.0,22.0,251.0,455.0,105.0,1178.0,2059.0
rule2_vs_rule9_HM5.0_0.5_rep4,33.0,1.0,24.0,218.0,534.0,92.0,1155.0,2057.0
rule2_vs_rule9_HM5.0_0.5_rep5,37.0,1.0,20.0,247.0,416.0,117.0,1277.0,2115.0
rule2_vs_rule9_HM5.0_0.5_rep6,50.0,1.0,20.0,242.0,462.0,113.0,1223.0,2111.0
rule2_vs_rule9_HM5.0_0.5_rep7,32.0,1.0,21.0,227.0,464.0,103.0,1261.0,2109.0
rule2_vs_rule9_HM5.0_0.5_rep8,41.0,1.0,21.0,225.0,486.0,109.0,1182.0,2065.0
rule2_vs_rule9_HM5.0_0.5_rep9,33.0,1.0,20.0,246.0,434.0,119.0,1289.0,2142.0
rule2_vs_rule9_HM5.0_2.0_rep1,43.0,1.0,19.0,243.0,479.0,98.0,1264.0,2147.0
rule2_vs_rule9_HM5.0_2.0_rep10,36.0,1.0,13.0,238.0,511.0,94.0,1213.0,2106.0
rule2_vs_rule9_HM5.0_2.0_rep2,51.0,1.0,26.0,240.0,478.0,90.0,1272.0,2158.0
rule2_vs_rule9_HM5.0_2.0_rep3,23.0,1.0,13.0,244.0,467.0,107.0,1200.0,2055.0
rule2_vs_rule9_HM5.0_2.0_rep4,63.0,1.0,19.0,234.0,489.0,116.0,1192.0,2114.0
rule2_vs_rule9_HM5.0_2.0_rep5,35.0,1.0,30.0,227.0,521.0,84.0,1210.0,2108.0
rule2_vs_rule9_HM5.0_2.0_rep6,38.0,1.0,23.0,234.0,448.0,127.0,1277.0,2148.0
rule2_vs_rule9_HM5.0_2.0_rep7,55.0,1.0,27.0,219.0,517.0,95.0,1161.0,2075.0
rule2_vs_rule9_HM5.0_2.0_rep8,61.0,1.0,19.0,241.0,469.0,90.0,1222.0,2103.0
rule3_vs_rule4_HM0.5_2.0_rep8,14.0,2.0,14.0,275.0,504.0,96.0,1351.0,2256.0
rule3_vs_rule4_HM0.5_2.0_rep9,16.0,2.0,32.0,295.0,519.0,64.0,1331.0,2259.0
rule3_vs_rule4_HM0.5_5.0_rep1,19.0,2.0,22.0,278.0,540.0,74.0,1351.0,2286.0
rule3_vs_rule4_HM0.5_5.0_rep10,23.0,1.0,26.0,281.0,508.0,56.0,1329.0,2224.0
rule3_vs_rule4_HM0.5_5.0_rep2,4.0,2.0,17.0,284.0,479.0,60.0,1359.0,2205.0
rule3_vs_rule4_HM0.5_5.0_rep3,21.0,1.0,17.0,260.0,501.0,69.0,1320.0,2189.0
rule3_vs_rule4_HM0.5_5.0_rep4,19.0,2.0,24.0,248.0,513.0,49.0,1305.0,2160.0
rule3_vs_rule4_HM0.5_5.0_rep5,15.0,2.0,16.0,243.0,518.0,58.0,1366.0,2218.0
rule3_vs_rule4_HM0.5_5.0_rep6,11.0,1.0,13.0,240.0,521.0,65.0,1294.0,2145.0
rule3_vs_rule4_HM0.5_5.0_rep7,31.0,1.0,24.0,273.0,513.0,85.0,1336.0,2263.0
rule3_vs_rule4_HM0.5_5.0_rep8,12.0,1.0,12.0,253.0,496.0,83.0,1319.0,2176.0
rule3_vs_rule4_HM0.5_5.0_rep9,3.0,2.0,13.0,280.0,526.0,76.0,1326.0,2226.0
rule3_vs_rule4_HM2.0_0.2_rep1,459.0,,26.0,227.0,618.0,32.0,830.0,2192.0
rule3_vs_rule5_HM0.5_0.2_rep8,18.0,1.0,17.0,304.0,474.0,101.0,1342.0,2257.0
rule3_vs_rule5_HM0.5_0.2_rep9,10.0,2.0,34.0,267.0,552.0,67.0,1304.0,2236.0
rule3_vs_rule5_HM0.5_0.5_rep1,14.0,2.0,24.0,288.0,464.0,78.0,1441.0,2311.0
rule3_vs_rule5_HM0.5_0.5_rep10,9.0,2.0,34.0,282.0,516.0,58.0,1375.0,2276.0
rule3_vs_rule5_HM0.5_0.5_rep2,16.0,2.0,25.0,277.0,476.0,68.0,1401.0,2265.0
rule3_vs_rule5_HM0.5_0.5_rep3,5.0,2.0,15.0,288.0,486.0,77.0,1434.0,2307.0
rule3_vs_rule5_HM0.5_0.5_rep4,20.0,2.0,24.0,288.0,491.0,81.0,1353.0,2259.0
rule3_vs_rule5_HM0.5_0.5_rep5,14.0,2.0,35.0,269.0,517.0,55.0,1369.0,2261.0
rule3_vs_rule5_HM0.5_0.5_rep6,17.0,3.0,27.0,277.0,517.0,80.0,1408.0,2329.0
rule3_vs_rule5_HM0.5_0.5_rep7,16.0,2.0,41.0,254.0,505.0,70.0,1433.0,2321.0
rule3_vs_rule5_HM0.5_0.5_rep8,15.0,2.0,23.0,248.0,548.0,54.0,1313.0,2203.0
rule3_vs_rule5_HM0.5_0.5_rep9,17.0,2.0,26.0,260.0,537.0,54.0,1410.0,2306.0
rule3_vs_rule5_HM0.5_2.0_rep1,11.0,2.0,18.0,292.0,499.0,78.0,1356.0,2256.0
rule3_vs_rule6_HM0.2_2.0_rep8,14.0,2.0,20.0,274.0,496.0,82.0,1419.0,2307.0
rule3_vs_rule6_HM0.2_2.0_rep9,19.0,2.0,37.0,266.0,502.0,76.0,1364.0,2266.0
rule3_vs_rule6_HM0.2_5.0_rep1,7.0,3.0,10.0,289.0,515.0,85.0,1391.0,2300.0
rule3_vs_rule6_HM0.2_5.0_rep10,8.0,2.0,25.0,270.0,477.0,112.0,1441.0,2335.0
rule3_vs_rule6_HM0.2_5.0_rep2,16.0,2.0,7.0,283.0,476.0,106.0,1457.0,2347.0
rule3_vs_rule6_HM0.2_5.0_rep3,9.0,2.0,13.0,284.0,490.0,115.0,1511.0,2424.0
rule3_vs_rule6_HM0.2_5.0_rep4,13.0,2.0,25.0,284.0,502.0,84.0,1471.0,2381.0
rule3_vs_rule6_HM0.2_5.0_rep5,14.0,2.0,14.0,298.0,434.0,124.0,1418.0,2304.0
rule3_vs_rule6_HM0.2_5.0_rep6,10.0,2.0,22.0,278.0,490.0,92.0,1361.0,2255.0
rule3_vs_rule6_HM0.2_5.0_rep7,21.0,2.0,23.0,287.0,470.0,97.0,1485.0,2385.0
rule3_vs_rule6_HM0.2_5.0_rep8,6.0,2.0,13.0,283.0,575.0,85.0,1387.0,2351.0
rule3_vs_rule6_HM0.2_5.0_rep9,10.0,2.0,12.0,294.0,411.0,115.0,1558.0,2402.0
rule3_vs_rule6_HM0.5_0.2_rep1,21.0,2.0,18.0,280.0,519.0,89.0,1338.0,2267.0
rule3_vs_rule7_HM0.2_0.2_rep8,21.0,2.0,29.0,273.0,478.0,82.0,1484.0,2369.0
rule3_vs_rule7_HM0.2_0.2_rep9,15.0,2.0,19.0,282.0,472.0,104.0,1529.0,2423.0
rule3_vs_rule7_HM0.2_0.5_rep1,10.0,2.0,14.0,290.0,475.0,104.0,1428.0,2323.0
rule3_vs_rule7_HM0.2_0.5_rep10,8.0,2.0,13.0,306.0,488.0,76.0,1346.0,2239.0
rule3_vs_rule7_HM0.2_0.5_rep2,7.0,2.0,24.0,269.0,484.0,101.0,1441.0,2328.0
rule3_vs_rule7_HM0.2_0.5_rep3,10.0,2.0,19.0,284.0,449.0,82.0,1409.0,2255.0
rule3_vs_rule7_HM0.2_0.5_rep4,10.0,2.0,26.0,297.0,519.0,92.0,1454.0,2400.0
rule3_vs_rule7_HM0.2_0.5_rep5,14.0,2.0,23.0,277.0,506.0,78.0,1460.0,2360.0
rule3_vs_rule7_HM0.2_0.5_rep6,4.0,2.0,26.0,270.0,526.0,102.0,1533.0,2463.0
rule3_vs_rule7_HM0.2_0.5_rep7,12.0,2.0,37.0,260.0,478.0,63.0,1458.0,2310.0
rule3_vs_rule7_HM0.2_0.5_rep8,4.0,2.0,30.0,276.0,513.0,81.0,1404.0,2310.0
rule3_vs_rule7_HM0.2_0.5_rep9,14.0,2.0,36.0,281.0,467.0,79.0,1549.0,2428.0
rule3_vs_rule7_HM0.2_2.0_rep1,10.0,2.0,21.0,276.0,445.0,85.0,1566.0,2405.0
rule3_vs_rule7_HM5.0_2.0_rep8,4126.0,,1.0,171.0,42.0,9.0,,4349.0
rule3_vs_rule7_HM5.0_2.0_rep9,4037.0,,,181.0,56.0,7.0,,4281.0
rule3_vs_rule7_HM5.0_5.0_rep1,4233.0,,1.0,154.0,48.0,10.0,,4446.0
rule3_vs_rule7_HM5.0_5.0_rep10,4074.0,,,175.0,47.0,7.0,,4303.0
rule3_vs_rule7_HM5.0_5.0_rep2,4024.0,,2.0,174.0,59.0,9.0,,4268.0
rule3_vs_rule7_HM5.0_5.0_rep3,4357.0,,2.0,158.0,41.0,7.0,,4565.0
rule3_vs_rule7_HM5.0_5.0_rep4,4275.0,,3.0,180.0,56.0,6.0,6.0,4526.0
rule3_vs_rule7_HM5.0_5.0_rep5,4297.0,,,174.0,44.0,8.0,,4523.0
rule3_vs_rule7_HM5.0_5.0_rep6,4371.0,,1.0,176.0,39.0,10.0,,4597.0
rule3_vs_rule7_HM5.0_5.0_rep7,4176.0,,2.0,160.0,42.0,6.0,,4386.0
rule3_vs_rule7_HM5.0_5.0_rep8,4228.0,,,159.0,40.0,3.0,,4430.0
rule3_vs_rule7_HM5.0_5.0_rep9,4125.0,,,151.0,42.0,7.0,,4325.0
rule3_vs_rule8_HM0.2_0.2_rep1,17.0,2.0,26.0,280.0,481.0,80.0,1517.0,2403.0
rule3_vs_rule8_HM5.0_0.2_rep8,4523.0,,3.0,176.0,43.0,6.0,,4751.0
rule3_vs_rule8_HM5.0_0.2_rep9,4263.0,,1.0,158.0,32.0,7.0,,4461.0
rule3_vs_rule8_HM5.0_0.5_rep1,4231.0,,,179.0,51.0,6.0,,4467.0
rule3_vs_rule8_HM5.0_0.5_rep10,4089.0,,1.0,177.0,39.0,6.0,,4312.0
rule3_vs_rule8_HM5.0_0.5_rep2,3944.0,,1.0,164.0,56.0,6.0,,4171.0
rule3_vs_rule8_HM5.0_0.5_rep3,3877.0,,,179.0,52.0,6.0,,4114.0
rule3_vs_rule8_HM5.0_0.5_rep4,4168.0,,1.0,160.0,42.0,5.0,,4376.0
rule3_vs_rule8_HM5.0_0.5_rep5,4274.0,,,152.0,34.0,8.0,,4468.0
rule3_vs_rule8_HM5.0_0.5_rep6,4201.0,,,160.0,50.0,8.0,,4419.0
rule3_vs_rule8_HM5.0_0.5_rep7,3843.0,,1.0,180.0,57.0,5.0,,4086.0
rule3_vs_rule8_HM5.0_0.5_rep8,4229.0,,1.0,166.0,48.0,7.0,,4451.0
rule3_vs_rule8_HM5.0_0.5_rep9,4494.0,,,171.0,45.0,9.0,,4719.0
rule3_vs_rule8_HM5.0_2.0_rep1,4269.0,,2.0,171.0,43.0,9.0,1.0,4495.0
rule1_vs_rule8_HM5.0_0.5_rep10,49.0,1.0,23.0,214.0,601.0,22.0,1155.0,2065.0
rule1_vs_rule8_HM5.0_5.0_rep5,35.0,1.0,16.0,250.0,564.0,20.0,1176.0,2062.0
rule1_vs_rule9_HM0.2_0.2_rep9,26.0,1.0,15.0,287.0,247.0,280.0,1402.0,2258.0
rule1_vs_rule9_HM0.2_2.0_rep7,43.0,2.0,17.0,278.0,216.0,329.0,1459.0,2344.0
rule1_vs_rule9_HM0.5_0.2_rep10,25.0,1.0,12.0,245.0,421.0,134.0,1278.0,2116.0
rule1_vs_rule9_HM0.5_2.0_rep5,32.0,1.0,7.0,260.0,470.0,137.0,1205.0,2112.0
rule1_vs_rule9_HM0.5_5.0_rep9,47.0,1.0,34.0,231.0,473.0,96.0,1233.0,2115.0
rule1_vs_rule9_HM2.0_0.5_rep7,19.0,1.0,28.0,223.0,582.0,28.0,1184.0,2065.0
rule1_vs_rule9_HM2.0_5.0_rep10,40.0,1.0,20.0,232.0,583.0,25.0,1217.0,2118.0
rule1_vs_rule9_HM5.0_0.5_rep5,35.0,1.0,37.0,221.0,639.0,23.0,1159.0,2115.0
rule1_vs_rule9_HM5.0_5.0_rep7,36.0,1.0,25.0,244.0,586.0,25.0,1193.0,2110.0
rule2_HM0.2_rep7,27.0,1.0,19.0,229.0,646.0,13.0,1095.0,2030.0
rule2_HM2.0_rep8,38.0,1.0,14.0,244.0,463.0,93.0,1235.0,2088.0
rule3_vs_rule10_HM0.5_2.0_rep9,15.0,2.0,32.0,277.0,470.0,68.0,1390.0,2254.0
rule3_vs_rule10_HM0.5_5.0_rep1,20.0,2.0,31.0,270.0,520.0,58.0,1374.0,2275.0
rule3_vs_rule10_HM0.5_5.0_rep10,17.0,2.0,19.0,278.0,491.0,84.0,1386.0,2277.0
rule3_vs_rule10_HM0.5_5.0_rep2,11.0,2.0,27.0,282.0,520.0,65.0,1347.0,2254.0
rule3_vs_rule10_HM0.5_5.0_rep3,25.0,2.0,45.0,242.0,574.0,36.0,1351.0,2275.0
rule3_vs_rule10_HM0.5_5.0_rep4,13.0,2.0,21.0,277.0,526.0,56.0,1372.0,2267.0
rule3_vs_rule10_HM0.5_5.0_rep5,20.0,2.0,31.0,277.0,457.0,75.0,1409.0,2271.0
rule3_vs_rule10_HM0.5_5.0_rep6,10.0,2.0,34.0,267.0,542.0,62.0,1341.0,2258.0
rule3_vs_rule10_HM0.5_5.0_rep7,11.0,2.0,33.0,279.0,540.0,62.0,1387.0,2314.0
rule3_vs_rule10_HM0.5_5.0_rep8,10.0,2.0,15.0,303.0,549.0,73.0,1393.0,2345.0
rule3_vs_rule10_HM0.5_5.0_rep9,12.0,2.0,32.0,266.0,490.0,56.0,1389.0,2247.0
rule3_vs_rule10_HM2.0_0.2_rep1,1477.0,,2.0,174.0,857.0,23.0,11.0,2544.0
rule3_vs_rule10_HM2.0_0.2_rep10,1378.0,,1.0,189.0,848.0,19.0,30.0,2465.0
rule3_vs_rule10_HM2.0_0.2_rep2,1229.0,,6.0,194.0,835.0,16.0,16.0,2296.0
rule3_vs_rule10_HM2.0_0.2_rep3,1383.0,,4.0,177.0,852.0,22.0,23.0,2461.0
rule3_vs_rule10_HM2.0_0.2_rep4,1389.0,,3.0,175.0,772.0,44.0,90.0,2473.0
rule3_vs_rule10_HM2.0_0.2_rep5,1484.0,,1.0,187.0,887.0,12.0,4.0,2575.0
rule3_vs_rule10_HM2.0_0.2_rep6,1334.0,,2.0,190.0,825.0,15.0,14.0,2380.0
rule3_vs_rule10_HM2.0_0.2_rep7,1227.0,,,188.0,841.0,25.0,28.0,2309.0
rule3_vs_rule10_HM2.0_0.2_rep8,1245.0,,1.0,199.0,850.0,18.0,6.0,2319.0
rule3_vs_rule9_HM2.0_2.0_rep8,1081.0,,5.0,188.0,788.0,34.0,82.0,2178.0
rule3_vs_rule9_HM2.0_2.0_rep9,1173.0,,1.0,199.0,869.0,26.0,4.0,2272.0
rule3_vs_rule9_HM2.0_5.0_rep1,1403.0,,1.0,184.0,834.0,9.0,4.0,2435.0
rule3_vs_rule9_HM2.0_5.0_rep10,1397.0,,1.0,180.0,873.0,13.0,1.0,2465.0
rule3_vs_rule9_HM2.0_5.0_rep2,1291.0,,1.0,188.0,894.0,9.0,,2383.0
rule3_vs_rule9_HM2.0_5.0_rep3,1023.0,,4.0,203.0,805.0,43.0,101.0,2179.0
rule3_vs_rule9_HM2.0_5.0_rep4,1109.0,,1.0,191.0,841.0,44.0,55.0,2241.0
rule3_vs_rule9_HM2.0_5.0_rep5,1292.0,,3.0,193.0,899.0,13.0,2.0,2402.0
rule3_vs_rule9_HM2.0_5.0_rep6,1382.0,,,187.0,811.0,14.0,15.0,2409.0
rule3_vs_rule9_HM2.0_5.0_rep7,1045.0,,3.0,179.0,771.0,45.0,64.0,2107.0
rule3_vs_rule9_HM2.0_5.0_rep8,1251.0,,2.0,179.0,841.0,25.0,13.0,2311.0
rule3_vs_rule9_HM2.0_5.0_rep9,1058.0,,4.0,192.0,814.0,48.0,55.0,2171.0
rule3_vs_rule9_HM5.0_0.2_rep1,4119.0,,1.0,164.0,31.0,6.0,,4321.0
rule4_vs_rule5_HM0.5_0.5_rep8,31.0,1.0,27.0,229.0,559.0,37.0,1256.0,2140.0
rule4_vs_rule5_HM0.5_0.5_rep9,26.0,2.0,34.0,273.0,473.0,48.0,1372.0,2228.0
rule4_vs_rule5_HM0.5_2.0_rep1,23.0,1.0,21.0,236.0,535.0,45.0,1248.0,2109.0
rule4_vs_rule5_HM0.5_2.0_rep10,37.0,1.0,36.0,233.0,489.0,42.0,1305.0,2143.0
rule4_vs_rule5_HM0.5_2.0_rep2,37.0,1.0,36.0,237.0,520.0,30.0,1263.0,2124.0
rule4_vs_rule5_HM0.5_2.0_rep3,31.0,1.0,28.0,268.0,515.0,55.0,1316.0,2214.0
rule4_vs_rule5_HM0.5_2.0_rep4,31.0,1.0,28.0,244.0,527.0,37.0,1293.0,2161.0
rule4_vs_rule5_HM0.5_2.0_rep5,34.0,1.0,39.0,246.0,521.0,32.0,1289.0,2162.0
rule4_vs_rule5_HM0.5_2.0_rep6,19.0,1.0,24.0,238.0,513.0,50.0,1292.0,2137.0
rule4_vs_rule5_HM0.5_2.0_rep7,30.0,1.0,19.0,242.0,544.0,48.0,1218.0,2102.0
rule4_vs_rule5_HM0.5_2.0_rep8,17.0,1.0,26.0,253.0,599.0,42.0,1180.0,2118.0
rule4_vs_rule5_HM0.5_2.0_rep9,19.0,1.0,28.0,248.0,553.0,52.0,1314.0,2215.0
rule4_vs_rule5_HM0.5_5.0_rep1,35.0,1.0,29.0,235.0,529.0,35.0,1282.0,2146.0
rule4_vs_rule6_HM0.2_5.0_rep8,39.0,2.0,32.0,259.0,524.0,34.0,1337.0,2227.0
rule4_vs_rule6_HM0.2_5.0_rep9,25.0,2.0,34.0,287.0,450.0,46.0,1407.0,2251.0
rule4_vs_rule6_HM0.5_0.2_rep1,12.0,1.0,23.0,269.0,504.0,39.0,1328.0,2176.0
rule4_vs_rule6_HM0.5_0.2_rep10,32.0,1.0,44.0,243.0,536.0,42.0,1327.0,2225.0
rule4_vs_rule6_HM0.5_0.2_rep2,19.0,2.0,13.0,259.0,519.0,54.0,1336.0,2202.0
rule4_vs_rule6_HM0.5_0.2_rep3,19.0,2.0,19.0,276.0,478.0,50.0,1334.0,2178.0
rule4_vs_rule6_HM0.5_0.2_rep4,13.0,1.0,20.0,269.0,497.0,51.0,1277.0,2128.0
rule4_vs_rule6_HM0.5_0.2_rep5,31.0,2.0,41.0,261.0,495.0,63.0,1377.0,2270.0
rule4_vs_rule6_HM0.5_0.2_rep6,22.0,2.0,31.0,258.0,514.0,43.0,1346.0,2216.0
rule4_vs_rule6_HM0.5_0.2_rep7,20.0,1.0,30.0,238.0,528.0,39.0,1309.0,2165.0
rule4_vs_rule6_HM0.5_0.2_rep8,25.0,1.0,19.0,221.0,553.0,34.0,1266.0,2119.0
rule4_vs_rule6_HM0.5_0.2_rep9,20.0,2.0,27.0,245.0,537.0,39.0,1293.0,2163.0
rule4_vs_rule6_HM0.5_0.5_rep1,36.0,1.0,29.0,261.0,511.0,30.0,1313.0,2181.0
rule4_vs_rule7_HM0.2_0.5_rep8,33.0,2.0,43.0,283.0,494.0,32.0,1381.0,2268.0
rule4_vs_rule7_HM0.2_0.5_rep9,30.0,2.0,41.0,270.0,471.0,27.0,1324.0,2165.0
rule4_vs_rule7_HM0.2_2.0_rep1,23.0,2.0,40.0,269.0,493.0,45.0,1355.0,2227.0
rule4_vs_rule7_HM0.2_2.0_rep10,29.0,2.0,41.0,265.0,499.0,40.0,1360.0,2236.0
rule4_vs_rule7_HM0.2_2.0_rep2,43.0,3.0,33.0,260.0,480.0,44.0,1396.0,2259.0
rule4_vs_rule7_HM0.2_2.0_rep3,17.0,2.0,45.0,270.0,527.0,35.0,1420.0,2316.0
rule4_vs_rule7_HM0.2_2.0_rep4,33.0,2.0,35.0,258.0,473.0,52.0,1415.0,2268.0
rule4_vs_rule7_HM0.2_2.0_rep5,31.0,2.0,45.0,244.0,484.0,41.0,1463.0,2310.0
rule4_vs_rule7_HM0.2_2.0_rep6,19.0,2.0,24.0,241.0,504.0,53.0,1319.0,2162.0
rule4_vs_rule7_HM0.2_2.0_rep7,31.0,2.0,49.0,252.0,510.0,34.0,1320.0,2198.0
rule4_vs_rule7_HM0.2_2.0_rep8,38.0,2.0,52.0,253.0,497.0,45.0,1345.0,2232.0
rule4_vs_rule7_HM0.2_2.0_rep9,22.0,2.0,29.0,238.0,542.0,35.0,1323.0,2191.0
rule4_vs_rule7_HM0.2_5.0_rep1,29.0,2.0,40.0,273.0,487.0,40.0,1414.0,2285.0
rule4_vs_rule7_HM5.0_5.0_rep8,46.0,1.0,29.0,216.0,573.0,27.0,1099.0,1991.0
rule4_vs_rule7_HM5.0_5.0_rep9,49.0,1.0,25.0,217.0,595.0,39.0,1113.0,2039.0
rule4_vs_rule8_HM0.2_0.2_rep1,20.0,2.0,39.0,250.0,480.0,42.0,1349.0,2182.0
rule4_vs_rule8_HM0.2_0.2_rep10,33.0,2.0,34.0,275.0,487.0,47.0,1372.0,2250.0
rule4_vs_rule8_HM0.2_0.2_rep2,33.0,2.0,44.0,251.0,479.0,45.0,1392.0,2246.0
rule4_vs_rule8_HM0.2_0.2_rep3,21.0,2.0,39.0,259.0,485.0,29.0,1417.0,2252.0
rule4_vs_rule8_HM0.2_0.2_rep4,30.0,2.0,48.0,271.0,501.0,40.0,1359.0,2251.0
rule4_vs_rule8_HM0.2_0.2_rep5,15.0,2.0,48.0,271.0,485.0,30.0,1352.0,2203.0
rule4_vs_rule8_HM0.2_0.2_rep6,19.0,3.0,33.0,251.0,497.0,43.0,1388.0,2234.0
rule4_vs_rule8_HM0.2_0.2_rep7,38.0,1.0,27.0,253.0,549.0,39.0,1297.0,2204.0
rule4_vs_rule8_HM0.2_0.2_rep8,13.0,2.0,34.0,275.0,497.0,35.0,1381.0,2237.0
rule4_vs_rule8_HM0.2_0.2_rep9,26.0,2.0,40.0,267.0,522.0,36.0,1352.0,2245.0
rule4_vs_rule8_HM0.2_0.5_rep1,37.0,2.0,46.0,258.0,505.0,32.0,1354.0,2234.0
rule4_vs_rule8_HM5.0_0.5_rep8,44.0,1.0,18.0,232.0,595.0,52.0,1080.0,2022.0
rule4_vs_rule8_HM5.0_0.5_rep9,44.0,1.0,12.0,243.0,596.0,45.0,1102.0,2043.0
rule4_vs_rule8_HM5.0_2.0_rep1,23.0,1.0,28.0,221.0,560.0,28.0,1134.0,1995.0
rule4_vs_rule8_HM5.0_2.0_rep10,29.0,1.0,28.0,215.0,641.0,38.0,1051.0,2003.0
rule4_vs_rule8_HM5.0_2.0_rep2,50.0,1.0,20.0,222.0,593.0,50.0,1049.0,1985.0
rule4_vs_rule8_HM5.0_2.0_rep3,27.0,1.0,18.0,232.0,551.0,34.0,1137.0,2000.0
rule4_vs_rule8_HM5.0_2.0_rep4,41.0,1.0,24.0,212.0,649.0,29.0,1001.0,1957.0
rule4_vs_rule8_HM5.0_2.0_rep5,33.0,1.0,18.0,220.0,639.0,39.0,1054.0,2004.0
rule4_vs_rule8_HM5.0_2.0_rep6,31.0,1.0,21.0,220.0,559.0,43.0,1178.0,2053.0
rule4_vs_rule8_HM5.0_2.0_rep7,24.0,1.0,19.0,218.0,584.0,44.0,1145.0,2035.0
rule4_vs_rule8_HM5.0_2.0_rep8,24.0,1.0,22.0,213.0,660.0,31.0,1106.0,2057.0
rule4_vs_rule8_HM5.0_2.0_rep9,25.0,1.0,22.0,228.0,632.0,38.0,1093.0,2039.0
rule4_vs_rule8_HM5.0_5.0_rep1,31.0,1.0,19.0,230.0,526.0,47.0,1161.0,2015.0
rule4_vs_rule10_HM0.5_0.2_rep9,27.0,1.0,26.0,243.0,534.0,41.0,1217.0,2089.0
rule4_vs_rule10_HM0.5_0.5_rep1,27.0,2.0,27.0,275.0,505.0,56.0,1335.0,2227.0
rule4_vs_rule10_HM0.5_0.5_rep10,32.0,1.0,26.0,239.0,532.0,47.0,1293.0,2170.0
rule4_vs_rule10_HM0.5_0.5_rep2,36.0,1.0,20.0,235.0,549.0,45.0,1269.0,2155.0
rule4_vs_rule10_HM0.5_0.5_rep3,33.0,2.0,47.0,248.0,491.0,38.0,1323.0,2182.0
