,CD8_T_cell,M0_macrophage,M1_macrophage,M2_macrophage,exhausted_T_cell,naive_T_cell,tumor,Total de agentes
rule6_vs_rule8_HM0.5_2.0_rep10,21.0,1.0,20.0,232.0,567.0,60.0,1179.0,2080.0
rule6_vs_rule8_HM0.5_2.0_rep2,44.0,1.0,26.0,233.0,594.0,29.0,1143.0,2070.0
rule6_vs_rule8_HM0.5_2.0_rep3,23.0,1.0,34.0,205.0,595.0,40.0,1197.0,2095.0
rule6_vs_rule8_HM0.5_2.0_rep4,46.0,1.0,16.0,232.0,603.0,49.0,1165.0,2112.0
rule6_vs_rule8_HM0.5_2.0_rep5,19.0,1.0,19.0,222.0,580.0,46.0,1189.0,2076.0
rule6_vs_rule8_HM0.5_2.0_rep6,30.0,1.0,22.0,244.0,574.0,42.0,1218.0,2131.0
rule6_vs_rule8_HM2.0_0.2_rep2,32.0,1.0,28.0,234.0,520.0,32.0,1241.0,2088.0
rule6_vs_rule8_HM2.0_0.2_rep3,24.0,1.0,18.0,226.0,539.0,40.0,1257.0,2105.0
rule6_vs_rule8_HM2.0_0.2_rep4,25.0,1.0,19.0,251.0,524.0,46.0,1261.0,2127.0
rule6_vs_rule8_HM2.0_0.2_rep5,19.0,1.0,20.0,229.0,538.0,46.0,1255.0,2108.0
rule6_vs_rule8_HM2.0_0.2_rep6,47.0,1.0,23.0,203.0,553.0,51.0,1161.0,2039.0
rule6_vs_rule8_HM2.0_0.2_rep7,30.0,1.0,10.0,231.0,520.0,50.0,1203.0,2045.0
rule6_vs_rule8_HM2.0_0.2_rep8,29.0,1.0,11.0,240.0,542.0,62.0,1249.0,2134.0
rule6_vs_rule8_HM2.0_0.2_rep9,39.0,1.0,23.0,226.0,564.0,49.0,1166.0,2068.0
rule6_vs_rule8_HM2.0_0.5_rep1,21.0,1.0,16.0,254.0,512.0,45.0,1279.0,2128.0
rule6_vs_rule8_HM2.0_0.5_rep10,38.0,1.0,22.0,229.0,495.0,41.0,1211.0,2037.0
rule6_vs_rule8_HM2.0_0.5_rep2,33.0,1.0,19.0,240.0,583.0,36.0,1172.0,2084.0
rule6_vs_rule8_HM2.0_0.5_rep3,36.0,1.0,8.0,238.0,544.0,81.0,1230.0,2138.0
rule6_vs_rule8_HM2.0_0.5_rep4,24.0,1.0,9.0,237.0,585.0,42.0,1172.0,2070.0
rule6_vs_rule8_HM2.0_0.5_rep5,31.0,1.0,16.0,221.0,552.0,51.0,1152.0,2024.0
rule6_vs_rule8_HM2.0_0.5_rep6,32.0,1.0,25.0,218.0,560.0,32.0,1165.0,2033.0
rule6_vs_rule8_HM2.0_0.5_rep7,28.0,1.0,20.0,244.0,554.0,47.0,1221.0,2115.0
rule6_vs_rule8_HM2.0_0.5_rep8,22.0,1.0,12.0,236.0,528.0,63.0,1207.0,2069.0
